basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
11	82	82	11432	21432	1	2	1	0	3	2	5	1957	50	6	0	0
11	82	82	11432	21432	1	3	4	4	34	1	6	1983	24	11	0	0
11	82	82	11432	21432	1	4	4	4	6	1	12	1985	21	-9	0	-9
11	82	82	11432	21432	1	5	5	5	7	2	8	1987	20	-9	0	-9
11	82	82	11432	21432	1	6	4	4	6	1	5	1990	17	-9	0	-9
11	82	82	11432	21432	1	7	4	4	6	1	4	1991	16	-9	0	-9
11	82	82	11432	21432	1	8	4	4	6	1	3	1995	12	-9	0	-9
11	82	82	11432	21432	1	9	4	4	6	1	10	1997	10	-9	0	-9
11	66	66	11423	21423	2	1	0	1	2	1	2	1957	50	-9	0	-9
11	66	66	11423	21423	2	2	1	0	3	2	1	1961	46	6	0	0
11	66	66	11423	21423	2	3	4	4	6	1	2	1985	22	-9	0	-9
11	66	66	11423	21423	2	4	4	4	6	1	12	1987	19	-9	0	-9
11	66	66	11423	21423	2	5	5	5	7	2	10	1981	26	-9	0	-9
11	66	66	11423	21423	2	6	19	19	21	1	2	1971	36	-9	0	-9
11	66	66	11423	21423	2	7	8	8	15	1	6	2007	0	-9	0	-9
11	78	78	11430	21430	1	1	0	1	2	1	9	1953	54	-9	0	-9
11	78	78	11430	21430	1	2	1	0	3	2	2	1954	53	6	0	0
11	78	78	11430	21430	1	3	4	4	6	1	7	1981	26	-9	0	-9
11	78	78	11430	21430	1	4	4	4	6	1	12	1985	21	-9	0	-9
11	78	78	11430	21430	1	5	4	4	6	1	6	1988	19	-9	0	-9
11	78	78	11430	21430	1	6	4	4	6	1	4	1997	10	-9	0	-9
11	78	78	11430	21430	1	7	4	4	34	1	10	1983	24	6	0	0
11	78	78	11430	21430	1	8	20	20	1	2	2	1986	21	-9	0	-9
11	78	78	11430	21430	1	9	9	9	5	2	9	2006	1	-9	0	-9
11	97	97	11444	21444	1	1	0	0	3	2	9	1944	63	6	0	0
11	97	97	11444	21444	1	2	1	1	2	1	4	1936	71	-9	0	-9
11	97	97	11444	21444	1	3	5	5	7	2	9	1987	20	-9	0	-9
11	97	97	11444	21444	1	4	5	5	34	2	10	1983	24	11	0	0
11	97	97	11444	21444	1	5	19	19	1	1	12	1981	25	-9	0	-9
11	97	97	11444	21444	1	6	9	9	5	2	11	2003	4	-9	0	-9
11	97	97	11444	21444	1	7	8	8	4	1	12	2006	0	-9	0	-9
11	97	97	11444	21444	1	8	9	9	16	2	5	1987	20	-9	0	-9
11	97	97	11444	21444	1	9	8	8	15	1	4	2004	3	-9	0	-9
32	11	11	13266	23266	1	1	0	0	3	2	10	1964	43	9	0	0
32	11	11	13266	23266	1	2	1	1	2	1	1	1957	50	-9	0	-9
32	11	11	13266	23266	1	3	4	4	6	1	7	1985	22	-9	0	-9
32	11	11	13266	23266	1	4	4	4	6	1	12	1989	17	-9	0	-9
32	11	11	13266	23266	1	5	4	4	6	1	11	1990	17	-9	0	-9
32	11	11	13266	23266	1	6	5	5	34	2	6	1983	24	11	0	0
